武器ID,武器名称,触发配件,动作,目标槽位
car-15,CAR-15突击步枪,AR战壕标准枪管组合,add,左贴片
car-15,CAR-15突击步枪,AR战壕标准枪管组合,add,右贴片
car-15,CAR-15突击步枪,AR加百列长枪管组合,disable,下导轨
car-15,CAR-15突击步枪,AR加百列长枪管组合,add,前握把
car-15,CAR-15突击步枪,AR加百列长枪管组合,add,上导轨
car-15,CAR-15突击步枪,AR加百列长枪管组合,add,导轨脚架
car-15,CAR-15突击步枪,AR加百列长枪管组合,add,左贴片
car-15,CAR-15突击步枪,AR加百列长枪管组合,add,左导轨
car-15,CAR-15突击步枪,AR加百列长枪管组合,add,上贴片
car-15,CAR-15突击步枪,AR加百列长枪管组合,add,右贴片
car-15,CAR-15突击步枪,AR标准枪管组合,disable,下导轨
car-15,CAR-15突击步枪,AR标准枪管组合,add,上导轨
car-15,CAR-15突击步枪,AR标准枪管组合,add,导轨脚架
car-15,CAR-15突击步枪,AR标准枪管组合,add,前握把
car-15,CAR-15突击步枪,AR标准枪管组合,add,左贴片
car-15,CAR-15突击步枪,AR标准枪管组合,add,左导轨
car-15,CAR-15突击步枪,AR标准枪管组合,add,上贴片
car-15,CAR-15突击步枪,AR标准枪管组合,add,右贴片
car-15,CAR-15突击步枪,AR碳纤维枪管组合,disable,下导轨
car-15,CAR-15突击步枪,AR碳纤维枪管组合,add,前握把
car-15,CAR-15突击步枪,AR碳纤维枪管组合,add,上导轨
car-15,CAR-15突击步枪,AR碳纤维枪管组合,add,导轨脚架
car-15,CAR-15突击步枪,AR碳纤维枪管组合,add,左贴片
car-15,CAR-15突击步枪,AR碳纤维枪管组合,add,左导轨
car-15,CAR-15突击步枪,AR碳纤维枪管组合,add,上贴片
car-15,CAR-15突击步枪,AR碳纤维枪管组合,add,右贴片
car-15,CAR-15突击步枪,模块化AR后握把,add,后握贴片
car-15,CAR-15突击步枪,AR重塔握把,add,握把座
car-15,CAR-15突击步枪,M4弹鼓60发,disable,弹匣座
car-15,CAR-15突击步枪,共振二代一体枪托,disable,后握把
car-15,CAR-15突击步枪,禁区一体枪托,disable,后握把
car-15,CAR-15突击步枪,共振二代一体枪托,disable,枪托
car-15,CAR-15突击步枪,禁区一体枪托,disable,枪托
fs-12,FS-12霰弹枪,侦察1.5/5可调瞄准镜,add,遮光罩
fs-12,FS-12霰弹枪,MEO微型瞄具增高架,add,瞄准镜
fs-12,FS-12霰弹枪,多用途战术增高架,add,战术设备
fs-12,FS-12霰弹枪,多用途战术增高架,add,增高座瞄具
fs-12,FS-12霰弹枪,微型瞄具增高架,add,增高座瞄具
fs-12,FS-12霰弹枪,AR重塔握把,add,握把座
g3,G3战斗步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
g3,G3战斗步枪,M157火控光学系统,add,遮光罩
g3,G3战斗步枪,LPVO多倍率战斗瞄具,add,遮光罩
g3,G3战斗步枪,3/7可调倍率狙击镜,add,遮光罩
g3,G3战斗步枪,3/7可调倍率狙击镜,add,上副瞄具
g3,G3战斗步枪,侦察1.5/5可调瞄准镜,add,遮光罩
g3,G3战斗步枪,MEO微型瞄具增高架,add,瞄准镜
g3,G3战斗步枪,多用途战术增高架,add,战术设备
g3,G3战斗步枪,多用途战术增高架,add,增高座瞄具
g3,G3战斗步枪,微型瞄具增高架,add,增高座瞄具
g3,G3战斗步枪,G3平台神射枪管组合,add,上导轨
g3,G3战斗步枪,G3平台神射枪管组合,add,左贴片
g3,G3战斗步枪,G3平台神射枪管组合,add,左导轨
g3,G3战斗步枪,G3平台神射枪管组合,add,右贴片
g3,G3战斗步枪,G3加强长枪管组合,add,左导轨
g3,G3战斗步枪,G3加强长枪管组合,add,左贴片
g3,G3战斗步枪,G3加强长枪管组合,add,右贴片
g3,G3战斗步枪,G3飓风短枪管组合,disable,导轨脚架
g3,G3战斗步枪,G3飓风短枪管组合,add,左贴片
g3,G3战斗步枪,G3飓风短枪管组合,add,右贴片
g3,G3战斗步枪,G3飓风短枪管组合,add,左导轨
g3,G3战斗步枪,G3守卫标准枪管组合,add,右贴片
g3,G3战斗步枪,G3守卫标准枪管组合,add,左导轨
g3,G3战斗步枪,G3守卫标准枪管组合,add,左贴片
g3,G3战斗步枪,G350发弹鼓,disable,弹匣座
g3,G3战斗步枪,G3平台神射枪管组合,add,枪口
g3,G3战斗步枪,G3加强长枪管组合,add,枪口
g3,G3战斗步枪,G3飓风短枪管组合,add,枪口
g3,G3战斗步枪,G3守卫标准枪管组合,add,枪口
k416,K416突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
k416,K416突击步枪,M157火控光学系统,add,遮光罩
k416,K416突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
k416,K416突击步枪,3/7可调倍率狙击镜,add,遮光罩
k416,K416突击步枪,3/7可调倍率狙击镜,add,上副瞄具
k416,K416突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
k416,K416突击步枪,MEO微型瞄具增高架,add,瞄准镜
k416,K416突击步枪,多用途战术增高架,add,战术设备
k416,K416突击步枪,多用途战术增高架,add,增高座瞄具
k416,K416突击步枪,微型瞄具增高架,add,增高座瞄具
k416,K416突击步枪,K416A8长枪管组合,add,导轨脚架
k416,K416突击步枪,K416特勤短枪管组合,disable,上贴片
k416,K416突击步枪,模块化AR后握把,add,后握贴片
k416,K416突击步枪,AR重塔握把,add,握把座
k416,K416突击步枪,M4弹鼓60发,disable,弹匣座
k416,K416突击步枪,共振二代一体枪托,disable,枪托
k416,K416突击步枪,共振二代一体枪托,disable,后握把
k437,K437突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
k437,K437突击步枪,M157火控光学系统,add,遮光罩
k437,K437突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
k437,K437突击步枪,3/7可调倍率狙击镜,add,遮光罩
k437,K437突击步枪,3/7可调倍率狙击镜,add,上副瞄具
k437,K437突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
k437,K437突击步枪,MEO微型瞄具增高架,add,瞄准镜
k437,K437突击步枪,多用途战术增高架,add,战术设备
k437,K437突击步枪,多用途战术增高架,add,增高座瞄具
k437,K437突击步枪,微型瞄具增高架,add,增高座瞄具
k437,K437突击步枪,K437特攻一体消音枪管,add,右贴片
k437,K437突击步枪,K437特攻一体消音枪管,add,左贴片
k437,K437突击步枪,K437长矛手长枪管组合,add,左贴片
k437,K437突击步枪,K437长矛手长枪管组合,add,右贴片
k437,K437突击步枪,模块化AR后握把,add,后握贴片
k437,K437突击步枪,AR重塔握把,add,握把座
k437,K437突击步枪,K43760发弹鼓,disable,弹匣座
k437,K437突击步枪,K437特攻一体消音枪管,disable,枪口
kc17,KC17突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
kc17,KC17突击步枪,M157火控光学系统,add,遮光罩
kc17,KC17突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
kc17,KC17突击步枪,3/7可调倍率狙击镜,add,遮光罩
kc17,KC17突击步枪,3/7可调倍率狙击镜,add,上副瞄具
kc17,KC17突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
kc17,KC17突击步枪,MEO微型瞄具增高架,add,瞄准镜
kc17,KC17突击步枪,多用途战术增高架,add,战术设备
kc17,KC17突击步枪,多用途战术增高架,add,增高座瞄具
kc17,KC17突击步枪,微型瞄具增高架,add,增高座瞄具
kc17,KC17突击步枪,模块化AR后握把,add,后握贴片
kc17,KC17突击步枪,AR重塔握把,add,握把座
kc17,KC17突击步枪,AKS-74U聚合物弹鼓75,disable,弹匣座
kc17,KC17突击步枪,KC17影舞者消音,disable,枪口
m1014,M1014霰弹枪,灵眼3/7弹道计算狙击镜,add,遮光罩
m1014,M1014霰弹枪,M157火控光学系统,add,遮光罩
m1014,M1014霰弹枪,LPVO多倍率战斗瞄具,add,遮光罩
m1014,M1014霰弹枪,3/7可调倍率狙击镜,add,遮光罩
m1014,M1014霰弹枪,3/7可调倍率狙击镜,add,上副瞄具
m1014,M1014霰弹枪,侦察1.5/5可调瞄准镜,add,遮光罩
m1014,M1014霰弹枪,MEO微型瞄具增高架,add,瞄准镜
m1014,M1014霰弹枪,多用途战术增高架,add,战术设备
m1014,M1014霰弹枪,多用途战术增高架,add,增高座瞄具
m1014,M1014霰弹枪,微型瞄具增高架,add,增高座瞄具
m1014,M1014霰弹枪,M1014导轨护木,add,右导轨
m1014,M1014霰弹枪,M1014导轨护木,add,左导轨
m1014,M1014霰弹枪,1014固定枪托,add,托腮板
m14,M14射手步枪,M14先进枪身系统,disable,托腮板
m14,M14射手步枪,M14先进枪身系统,disable,护木
m14,M14射手步枪,M14先进枪身系统,add,前握把
m14,M14射手步枪,M14先进枪身系统,add,枪托
m14,M14射手步枪,M14先进枪身系统,add,导轨脚架
m14,M14射手步枪,M14先进枪身系统,add,上导轨
m14,M14射手步枪,M14先进枪身系统,add,左导轨
m14,M14射手步枪,M14先进枪身系统,add,右导轨
m14,M14射手步枪,M14先进枪身系统,add,上贴片
m14,M14射手步枪,灵眼6/12弹道计算狙击镜,add,遮光罩
m14,M14射手步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
m14,M14射手步枪,M157火控光学系统,add,遮光罩
m14,M14射手步枪,6/12神射手变倍狙击镜,add,遮光罩
m14,M14射手步枪,6/12神射手变倍狙击镜,add,上副瞄具
m14,M14射手步枪,LPVO多倍率战斗瞄具,add,遮光罩
m14,M14射手步枪,3/7可调倍率狙击镜,add,遮光罩
m14,M14射手步枪,3/7可调倍率狙击镜,add,上副瞄具
m14,M14射手步枪,光学狙击8倍瞄准镜,add,遮光罩
m14,M14射手步枪,侦察1.5/5可调瞄准镜,add,遮光罩
m14,M14射手步枪,MEO微型瞄具增高架,add,瞄准镜
m14,M14射手步枪,多用途战术增高架,add,战术设备
m14,M14射手步枪,多用途战术增高架,add,增高座瞄具
m14,M14射手步枪,微型瞄具增高架,add,增高座瞄具
m14,M14射手步枪,M3狙击镜,add,遮光罩
m14,M14射手步枪,M1450发弹鼓,disable,弹匣座
m14,M14射手步枪,M14导轨一体枪托,add,前握把
m14,M14射手步枪,M14导轨一体枪托,add,上导轨
m14,M14射手步枪,M14导轨一体枪托,add,导轨脚架
m14,M14射手步枪,M14导轨一体枪托,add,上贴片
m14,M14射手步枪,M14导轨一体枪托,add,左导轨
m14,M14射手步枪,M14导轨一体枪托,add,右导轨
m14,M14射手步枪,M14导轨一体枪托,add,右贴片
m14,M14射手步枪,M14导轨一体枪托,add,左贴片
m14,M14射手步枪,M14导轨一体枪托,disable,护木套件
m14,M14射手步枪,M14洞察超长枪管,add,枪口
m14,M14射手步枪,M14轻语短枪管,add,枪口
m14,M14射手步枪,M14漫游标准枪管,add,枪口
m16a4,M16A4突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
m16a4,M16A4突击步枪,M157火控光学系统,add,遮光罩
m16a4,M16A4突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
m16a4,M16A4突击步枪,3/7可调倍率狙击镜,add,遮光罩
m16a4,M16A4突击步枪,3/7可调倍率狙击镜,add,上副瞄具
m16a4,M16A4突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
m16a4,M16A4突击步枪,MEO微型瞄具增高架,add,瞄准镜
m16a4,M16A4突击步枪,多用途战术增高架,add,战术设备
m16a4,M16A4突击步枪,多用途战术增高架,add,增高座瞄具
m16a4,M16A4突击步枪,微型瞄具增高架,add,增高座瞄具
m16a4,M16A4突击步枪,AR特勤一体消音组合,disable,枪口
m16a4,M16A4突击步枪,AR特勤一体消音组合,disable,下导轨
m16a4,M16A4突击步枪,AR特勤一体消音组合,add,前握把
m16a4,M16A4突击步枪,AR特勤一体消音组合,add,上导轨
m16a4,M16A4突击步枪,AR特勤一体消音组合,add,导轨脚架
m16a4,M16A4突击步枪,AR特勤一体消音组合,add,右导轨
m16a4,M16A4突击步枪,AR特勤一体消音组合,add,上贴片
m16a4,M16A4突击步枪,AR特勤一体消音组合,add,左导轨
m16a4,M16A4突击步枪,AR特攻短枪管组合,disable,下导轨
m16a4,M16A4突击步枪,AR特攻短枪管组合,add,上导轨
m16a4,M16A4突击步枪,AR特攻短枪管组合,add,左导轨
m16a4,M16A4突击步枪,AR特攻短枪管组合,add,前握把
m16a4,M16A4突击步枪,AR特攻短枪管组合,add,右导轨
m16a4,M16A4突击步枪,AR战壕标准枪管组合,disable,下导轨
m16a4,M16A4突击步枪,AR战壕标准枪管组合,add,导轨脚架
m16a4,M16A4突击步枪,AR战壕标准枪管组合,add,前握把
m16a4,M16A4突击步枪,AR战壕标准枪管组合,add,上导轨
m16a4,M16A4突击步枪,AR战壕标准枪管组合,add,左导轨
m16a4,M16A4突击步枪,AR战壕标准枪管组合,add,右导轨
m16a4,M16A4突击步枪,AR战壕标准枪管组合,add,上贴片
m16a4,M16A4突击步枪,AR战壕标准枪管组合,add,左贴片
m16a4,M16A4突击步枪,AR战壕标准枪管组合,add,右贴片
m16a4,M16A4突击步枪,AR加百列长枪管组合,disable,下导轨
m16a4,M16A4突击步枪,AR加百列长枪管组合,add,前握把
m16a4,M16A4突击步枪,AR加百列长枪管组合,add,上导轨
m16a4,M16A4突击步枪,AR加百列长枪管组合,add,导轨脚架
m16a4,M16A4突击步枪,AR加百列长枪管组合,add,左导轨
m16a4,M16A4突击步枪,AR加百列长枪管组合,add,右导轨
m16a4,M16A4突击步枪,AR加百列长枪管组合,add,上贴片
m16a4,M16A4突击步枪,AR加百列长枪管组合,add,右贴片
m16a4,M16A4突击步枪,AR加百列长枪管组合,add,左贴片
m16a4,M16A4突击步枪,AR标准枪管组合,disable,下导轨
m16a4,M16A4突击步枪,AR标准枪管组合,add,上导轨
m16a4,M16A4突击步枪,AR标准枪管组合,add,导轨脚架
m16a4,M16A4突击步枪,AR标准枪管组合,add,前握把
m16a4,M16A4突击步枪,AR标准枪管组合,add,右导轨
m16a4,M16A4突击步枪,AR标准枪管组合,add,上贴片
m16a4,M16A4突击步枪,AR标准枪管组合,add,左导轨
m16a4,M16A4突击步枪,AR标准枪管组合,add,左贴片
m16a4,M16A4突击步枪,AR标准枪管组合,add,右贴片
m16a4,M16A4突击步枪,AR碳纤维枪管组合,disable,下导轨
m16a4,M16A4突击步枪,AR碳纤维枪管组合,add,前握把
m16a4,M16A4突击步枪,AR碳纤维枪管组合,add,上导轨
m16a4,M16A4突击步枪,AR碳纤维枪管组合,add,导轨脚架
m16a4,M16A4突击步枪,AR碳纤维枪管组合,add,左导轨
m16a4,M16A4突击步枪,AR碳纤维枪管组合,add,右导轨
m16a4,M16A4突击步枪,AR碳纤维枪管组合,add,上贴片
m16a4,M16A4突击步枪,AR碳纤维枪管组合,add,右贴片
m16a4,M16A4突击步枪,AR碳纤维枪管组合,add,左贴片
m16a4,M16A4突击步枪,模块化AR后握把,add,后握贴片
m16a4,M16A4突击步枪,AR重塔握把,add,握把座
m16a4,M16A4突击步枪,M4弹鼓60发,disable,弹匣座
m16a4,M16A4突击步枪,共振二代一体枪托,disable,后握把
m16a4,M16A4突击步枪,禁区一体枪托,disable,后握把
m16a4,M16A4突击步枪,共振二代一体枪托,disable,枪托
m16a4,M16A4突击步枪,禁区一体枪托,disable,枪托
m249,M249轻机枪,灵眼3/7弹道计算狙击镜,add,遮光罩
m249,M249轻机枪,M157火控光学系统,add,遮光罩
m249,M249轻机枪,LPVO多倍率战斗瞄具,add,遮光罩
m249,M249轻机枪,3/7可调倍率狙击镜,add,遮光罩
m249,M249轻机枪,3/7可调倍率狙击镜,add,上副瞄具
m249,M249轻机枪,侦察1.5/5可调瞄准镜,add,遮光罩
m249,M249轻机枪,MEO微型瞄具增高架,add,瞄准镜
m249,M249轻机枪,多用途战术增高架,add,战术设备
m249,M249轻机枪,多用途战术增高架,add,增高座瞄具
m249,M249轻机枪,微型瞄具增高架,add,增高座瞄具
m249,M249轻机枪,HVK链锯套件,disable,导轨脚架
m249,M249轻机枪,HVK链锯套件,disable,前握把
m249,M249轻机枪,HVK链锯套件,add,上导轨
m249,M249轻机枪,M249脚架护木,disable,前握把
m249,M249轻机枪,M249脚架护木,disable,左导轨
m249,M249轻机枪,M249脚架护木,disable,导轨脚架
m249,M249轻机枪,M249军规导轨护木,disable,导轨脚架
m249,M249轻机枪,M249军规导轨护木,add,上贴片
m249,M249轻机枪,M249军规导轨护木,add,上导轨
m249,M249轻机枪,M249军规导轨护木,add,左贴片
m249,M249轻机枪,M249军规导轨护木,add,右贴片
m249,M249轻机枪,HVK链锯套件,disable,枪托
m249,M249轻机枪,HVK链锯套件,disable,后握把
m249,M249轻机枪,HVK链锯套件,disable,护木
m250,M250通用机枪,灵眼3/7弹道计算狙击镜,add,遮光罩
m250,M250通用机枪,M157火控光学系统,add,遮光罩
m250,M250通用机枪,LPVO多倍率战斗瞄具,add,遮光罩
m250,M250通用机枪,3/7可调倍率狙击镜,add,遮光罩
m250,M250通用机枪,3/7可调倍率狙击镜,add,上副瞄具
m250,M250通用机枪,侦察1.5/5可调瞄准镜,add,遮光罩
m250,M250通用机枪,MEO微型瞄具增高架,add,瞄准镜
m250,M250通用机枪,多用途战术增高架,add,战术设备
m250,M250通用机枪,多用途战术增高架,add,增高座瞄具
m250,M250通用机枪,微型瞄具增高架,add,增高座瞄具
m250,M250通用机枪,模块化AR后握把,add,后握贴片
m250,M250通用机枪,AR重塔握把,add,握把座
m4a1,M4A1突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
m4a1,M4A1突击步枪,M157火控光学系统,add,遮光罩
m4a1,M4A1突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
m4a1,M4A1突击步枪,3/7可调倍率狙击镜,add,遮光罩
m4a1,M4A1突击步枪,3/7可调倍率狙击镜,add,上副瞄具
m4a1,M4A1突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
m4a1,M4A1突击步枪,MEO微型瞄具增高架,add,瞄准镜
m4a1,M4A1突击步枪,多用途战术增高架,add,战术设备
m4a1,M4A1突击步枪,多用途战术增高架,add,增高座瞄具
m4a1,M4A1突击步枪,微型瞄具增高架,add,增高座瞄具
m4a1,M4A1突击步枪,AR特勤一体消音组合,disable,枪口
m4a1,M4A1突击步枪,AR特攻短枪管组合,disable,左贴片
m4a1,M4A1突击步枪,AR特攻短枪管组合,disable,上贴片
m4a1,M4A1突击步枪,AR特攻短枪管组合,disable,导轨脚架
m4a1,M4A1突击步枪,AR特攻短枪管组合,disable,右贴片
m4a1,M4A1突击步枪,M16A4稳定枪托,add,托腮板
m4a1,M4A1突击步枪,模块化AR后握把,add,后握贴片
m4a1,M4A1突击步枪,AR重塔握把,add,握把座
m4a1,M4A1突击步枪,M4弹鼓60发,disable,弹匣座
m4a1,M4A1突击步枪,共振二代一体枪托,disable,后握把
m4a1,M4A1突击步枪,禁区一体枪托,disable,后握把
m4a1,M4A1突击步枪,共振二代一体枪托,disable,枪托
m4a1,M4A1突击步枪,禁区一体枪托,disable,枪托
m700,M700狙击步枪,灵眼6/12弹道计算狙击镜,add,遮光罩
m700,M700狙击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
m700,M700狙击步枪,M157火控光学系统,add,遮光罩
m700,M700狙击步枪,6/12神射手变倍狙击镜,add,遮光罩
m700,M700狙击步枪,6/12神射手变倍狙击镜,add,上副瞄具
m700,M700狙击步枪,LPVO多倍率战斗瞄具,add,遮光罩
m700,M700狙击步枪,3/7可调倍率狙击镜,add,遮光罩
m700,M700狙击步枪,3/7可调倍率狙击镜,add,上副瞄具
m700,M700狙击步枪,光学狙击8倍瞄准镜,add,遮光罩
m700,M700狙击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
m700,M700狙击步枪,MEO微型瞄具增高架,add,瞄准镜
m700,M700狙击步枪,多用途战术增高架,add,战术设备
m700,M700狙击步枪,多用途战术增高架,add,增高座瞄具
m700,M700狙击步枪,微型瞄具增高架,add,增高座瞄具
m700,M700狙击步枪,M3狙击镜,add,遮光罩
m700,M700狙击步枪,M700一体消音管,disable,枪口
m700,M700狙击步枪,M700军规护木,add,右导轨
m700,M700狙击步枪,M700军规护木,add,左导轨
m700,M700狙击步枪,M700军规护木,add,导轨脚架
m700,M700狙击步枪,M700军规护木,add,托腮板
m700,M700狙击步枪,M700先进枪身系统,add,前握把
m700,M700狙击步枪,M700先进枪身系统,add,后握把
m700,M700狙击步枪,M700先进枪身系统,add,导轨脚架
m700,M700狙击步枪,M700先进枪身系统,add,右导轨
m700,M700狙击步枪,M700先进枪身系统,add,上导轨
m700,M700狙击步枪,M700先进枪身系统,add,左导轨
m700,M700狙击步枪,M700先进枪身系统,add,左贴片
m700,M700狙击步枪,M700先进枪身系统,add,上贴片
m700,M700狙击步枪,M700先进枪身系统,add,右贴片
m700,M700狙击步枪,M700稳定一体枪托,add,右导轨
m700,M700狙击步枪,M700稳定一体枪托,add,左导轨
m700,M700狙击步枪,M700稳定一体枪托,add,导轨脚架
m700,M700狙击步枪,M700黑色一体枪托,add,左导轨
m700,M700狙击步枪,M700黑色一体枪托,add,右导轨
m700,M700狙击步枪,M700黑色一体枪托,add,导轨脚架
m700,M700狙击步枪,M700黑色一体枪托,add,托腮板
m700,M700狙击步枪,模块化AR后握把,add,后握贴片
m700,M700狙击步枪,AR重塔握把,add,握把座
m7,M７战斗步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
m7,M７战斗步枪,M157火控光学系统,add,遮光罩
m7,M７战斗步枪,LPVO多倍率战斗瞄具,add,遮光罩
m7,M７战斗步枪,3/7可调倍率狙击镜,add,遮光罩
m7,M７战斗步枪,3/7可调倍率狙击镜,add,上副瞄具
m7,M７战斗步枪,侦察1.5/5可调瞄准镜,add,遮光罩
m7,M７战斗步枪,MEO微型瞄具增高架,add,瞄准镜
m7,M７战斗步枪,多用途战术增高架,add,战术设备
m7,M７战斗步枪,多用途战术增高架,add,增高座瞄具
m7,M７战斗步枪,微型瞄具增高架,add,增高座瞄具
m7,M７战斗步枪,M7灵蜥短枪管,disable,导轨脚架
m7,M７战斗步枪,M7堤风超长枪管组合,add,上贴片
m7,M７战斗步枪,模块化AR后握把,add,后握贴片
m7,M７战斗步枪,AR重塔握把,add,握把座
m7,M７战斗步枪,M7灵蜥短枪管,add,枪口
m7,M７战斗步枪,M7堤风超长枪管组合,add,枪口
m7,M７战斗步枪,M7实用长枪管组合,add,枪口
m82,M82狙击步枪,灵眼6/12弹道计算狙击镜,add,遮光罩
m82,M82狙击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
m82,M82狙击步枪,M157火控光学系统,add,遮光罩
m82,M82狙击步枪,6/12神射手变倍狙击镜,add,遮光罩
m82,M82狙击步枪,6/12神射手变倍狙击镜,add,上副瞄具
m82,M82狙击步枪,LPVO多倍率战斗瞄具,add,遮光罩
m82,M82狙击步枪,3/7可调倍率狙击镜,add,遮光罩
m82,M82狙击步枪,3/7可调倍率狙击镜,add,上副瞄具
m82,M82狙击步枪,光学狙击8倍瞄准镜,add,遮光罩
m82,M82狙击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
m82,M82狙击步枪,MEO微型瞄具增高架,add,瞄准镜
m82,M82狙击步枪,多用途战术增高架,add,战术设备
m82,M82狙击步枪,多用途战术增高架,add,增高座瞄具
m82,M82狙击步枪,微型瞄具增高架,add,增高座瞄具
m82,M82狙击步枪,短吻鳄枪管组合,disable,上贴片
m82,M82狙击步枪,AR重塔握把,add,握把座
m870,M870霰弹枪,灵眼3/7弹道计算狙击镜,add,遮光罩
m870,M870霰弹枪,M157火控光学系统,add,遮光罩
m870,M870霰弹枪,LPVO多倍率战斗瞄具,add,遮光罩
m870,M870霰弹枪,3/7可调倍率狙击镜,add,遮光罩
m870,M870霰弹枪,3/7可调倍率狙击镜,add,上副瞄具
m870,M870霰弹枪,侦察1.5/5可调瞄准镜,add,遮光罩
m870,M870霰弹枪,MEO微型瞄具增高架,add,瞄准镜
m870,M870霰弹枪,多用途战术增高架,add,战术设备
m870,M870霰弹枪,多用途战术增高架,add,增高座瞄具
m870,M870霰弹枪,微型瞄具增高架,add,增高座瞄具
m870,M870霰弹枪,M870导轨护木,add,前握把
m870,M870霰弹枪,M870导轨护木,add,左导轨
m870,M870霰弹枪,M870导轨护木,add,右导轨
mcxlt,MCXLT突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
mcxlt,MCXLT突击步枪,M157火控光学系统,add,遮光罩
mcxlt,MCXLT突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
mcxlt,MCXLT突击步枪,3/7可调倍率狙击镜,add,遮光罩
mcxlt,MCXLT突击步枪,3/7可调倍率狙击镜,add,上副瞄具
mcxlt,MCXLT突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
mcxlt,MCXLT突击步枪,MEO微型瞄具增高架,add,瞄准镜
mcxlt,MCXLT突击步枪,多用途战术增高架,add,战术设备
mcxlt,MCXLT突击步枪,多用途战术增高架,add,增高座瞄具
mcxlt,MCXLT突击步枪,微型瞄具增高架,add,增高座瞄具
mcxlt,MCXLT突击步枪,MCX LT焰魂枪管,add,右贴片
mcxlt,MCXLT突击步枪,MCX LT焰魂枪管,add,左贴片
mcxlt,MCXLT突击步枪,MCX LT焰魂枪管,add,隔热网
mcxlt,MCXLT突击步枪,MCX LT猎手枪管,add,左贴片
mcxlt,MCXLT突击步枪,MCX LT猎手枪管,add,右贴片
mcxlt,MCXLT突击步枪,模块化AR后握把,add,后握贴片
mcxlt,MCXLT突击步枪,AR重塔握把,add,握把座
mcxlt,MCXLT突击步枪,M4弹鼓60发,disable,弹匣座
mcxlt,MCXLT突击步枪,MCX LT焰魂枪管,disable,枪口
mcxlt,MCXLT突击步枪,MCX LT焰魂枪管,add,前握把
mcxlt,MCXLT突击步枪,MCX LT猎手枪管,add,前握把
mini-14,Mini-14射手步枪,Mini-14 20发弹匣,add,弹匣座
mini-14,Mini-14射手步枪,灵眼6/12弹道计算狙击镜,add,遮光罩
mini-14,Mini-14射手步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
mini-14,Mini-14射手步枪,M157火控光学系统,add,遮光罩
mini-14,Mini-14射手步枪,6/12神射手变倍狙击镜,add,遮光罩
mini-14,Mini-14射手步枪,6/12神射手变倍狙击镜,add,上副瞄具
mini-14,Mini-14射手步枪,LPVO多倍率战斗瞄具,add,遮光罩
mini-14,Mini-14射手步枪,3/7可调倍率狙击镜,add,遮光罩
mini-14,Mini-14射手步枪,3/7可调倍率狙击镜,add,上副瞄具
mini-14,Mini-14射手步枪,光学狙击8倍瞄准镜,add,遮光罩
mini-14,Mini-14射手步枪,侦察1.5/5可调瞄准镜,add,遮光罩
mini-14,Mini-14射手步枪,MEO微型瞄具增高架,add,瞄准镜
mini-14,Mini-14射手步枪,多用途战术增高架,add,战术设备
mini-14,Mini-14射手步枪,多用途战术增高架,add,增高座瞄具
mini-14,Mini-14射手步枪,微型瞄具增高架,add,增高座瞄具
mini-14,Mini-14射手步枪,M3狙击镜,add,遮光罩
mini-14,Mini-14射手步枪,Mini-14先进枪身系统,add,枪托
mini-14,Mini-14射手步枪,Mini-14先进枪身系统,add,前握把
mini-14,Mini-14射手步枪,Mini-14先进枪身系统,add,导轨脚架
mini-14,Mini-14射手步枪,Mini-14先进枪身系统,add,左导轨
mini-14,Mini-14射手步枪,Mini-14先进枪身系统,add,右导轨
mini-14,Mini-14射手步枪,Mini-14聚合物一体枪托,add,右导轨
mini-14,Mini-14射手步枪,Mini-14聚合物一体枪托,add,前握把
mini-14,Mini-14射手步枪,Mini-14聚合物一体枪托,add,左导轨
mini-14,Mini-14射手步枪,Mini-14聚合物枪托,add,枪托
mini-14,Mini-14射手步枪,Mini-14聚合物枪托,add,前握把
mini-14,Mini-14射手步枪,Mini-14聚合物枪托,add,左导轨
